age,birthDayOfMonth,birthMonth,birthYear,bustSize,class,cupSize,height,hipSize,name,waistSize,weight,voiceBy
34,15,11,1985,83.0,class FemaleRealTalent,A,170.0,84.0,熊澤枝里子,58.0,49.0,
31,18,9,1988,86.0,class FemaleRealTalent,E,166.0,86.0,一戸愛子,58.0,48.0,
54,12,9,1965,82.0,class FemaleRealTalent,F,165.4,84.0,岡本夏生,68.0,47.8,
38,29,10,1981,85.0,class FemaleRealTalent,D,155.0,83.0,岸本ゆきえ,58.0,38.0,
34,6,2,1986,82.0,class FemaleRealTalent,B,161.0,87.0,内田安咲美,60.0,48.0,
48,6,12,1971,83.0,class FemaleRealTalent,D,162.0,80.0,西野優輝,60.0,44.0,
28,19,8,1991,88.0,class FemaleRealTalent,F,162.0,83.0,かえひろみ,56.0,43.0,
28,11,4,1991,92.0,class FemaleRealTalent,H,158.0,88.0,岸明日香,58.0,42.7,
28,20,10,1991,78.0,class FemaleRealTalent,C,160.0,81.0,朝比パメラ,55.0,40.0,
42,31,3,1977,83.0,class FemaleRealTalent,D,161.0,80.0,上原さくら,54.0,41.0,
36,7,2,1984,88.0,class FemaleRealTalent,C,156.0,85.0,高木あずさ,58.0,38.0,
37,2,2,1983,100.0,class FemaleRealTalent,J,166.0,85.0,田辺はるか,58.0,45.0,
34,1,2,1986,86.0,class FemaleRealTalent,C,168.0,88.0,西田美歩,57.0,48.0,
43,27,7,1976,88.0,class FemaleRealTalent,D,160.0,86.0,望月さや,57.0,46.0,
41,23,1,1979,100.0,class FemaleRealTalent,I,163.0,88.0,千原こずえ,60.0,50.0,
29,12,9,1990,90.0,class FemaleRealTalent,G,157.0,86.0,黒田万結花,58.0,43.0,
30,16,8,1989,79.0,class FemaleRealTalent,D,151.0,78.0,伊藤沙菜,56.0,43.0,
34,10,9,1985,82.0,class FemaleRealTalent,A,166.2,87.0,桃香,57.0,46.5,
27,6,8,1992,80.0,class FemaleRealTalent,B,167.0,80.0,溝口真央,56.0,44.0,
53,28,12,1966,80.0,class FemaleRealTalent,B,157.5,83.0,高井麻巳子,58.0,44.0,
41,11,9,1978,83.0,class FemaleRealTalent,D,171.0,86.0,船津未帆,58.0,48.0,
37,22,1,1983,81.0,class FemaleRealTalent,D,160.0,79.0,初音みう,54.0,42.0,
37,9,1,1983,85.0,class FemaleRealTalent,D,167.0,84.0,山崎みどり,56.0,44.4,
36,24,11,1983,85.0,class FemaleRealTalent,D,163.0,85.0,山内智恵,58.0,48.0,
45,18,4,1974,80.0,class FemaleRealTalent,C,165.0,87.0,伊藤裕子,60.0,48.0,
25,21,11,1994,84.0,class FemaleRealTalent,E,162.0,86.0,瀬名葉月,58.0,45.0,
33,11,12,1986,84.0,class FemaleRealTalent,D,158.0,83.0,若山愛美,57.0,47.0,
27,16,12,1992,82.0,class FemaleRealTalent,C,163.0,83.0,三浦萌,60.0,42.0,
